yield,rain,year,rain2,rain_year,rain2_year
24.5,9.6,1890,92.16,18144.0,174182.40
33.7,12.9,1891,166.41,24393.9,314681.31
27.9,9.9,1892,98.01,18730.8,185434.92
27.5,8.7,1893,75.69,16469.1,143281.17
21.7,6.8,1894,46.24,12879.2,87578.56
31.9,12.5,1895,156.25,23687.5,296093.75
36.8,13.0,1896,169.00,24648.0,320424.00
29.9,10.1,1897,102.01,19159.7,193512.97
30.2,10.1,1898,102.01,19169.8,193614.98
32.0,10.1,1899,102.01,19179.9,193716.99
34.0,10.8,1900,116.64,20520.0,221616.00
19.4,7.8,1901,60.84,14827.8,115656.84
36.0,16.2,1902,262.44,30812.4,499160.88
30.2,14.1,1903,198.81,26832.3,378335.43
32.4,10.6,1904,112.36,20182.4,213933.44
36.4,10.0,1905,100.00,19050.0,190500.00
36.9,11.5,1906,132.25,21919.0,252068.50
31.5,13.6,1907,184.96,25935.2,352718.72
30.5,12.1,1908,146.41,23086.8,279350.28
32.3,12.0,1909,144.00,22908.0,274896.00
34.9,9.3,1910,86.49,17763.0,165195.90
30.1,7.7,1911,59.29,14714.7,113303.19
36.9,11.0,1912,121.00,21032.0,231352.00
26.8,6.9,1913,47.61,13199.7,91077.93
30.5,9.5,1914,90.25,18183.0,172738.50
33.3,16.5,1915,272.25,31597.5,521358.75
29.7,9.3,1916,86.49,17818.8,165714.84
35.0,9.4,1917,88.36,18019.8,169386.12
29.9,8.7,1918,75.69,16686.6,145173.42
35.2,9.5,1919,90.25,18230.5,173189.75
38.3,11.6,1920,134.56,22272.0,258355.20
35.2,12.1,1921,146.41,23244.1,281253.61
35.5,8.0,1922,64.00,15376.0,123008.00
36.7,10.7,1923,114.49,20576.1,220164.27
26.8,13.9,1924,193.21,26743.6,371736.04
38.0,11.3,1925,127.69,21752.5,245803.25
31.7,11.6,1926,134.56,22341.6,259162.56
32.6,10.4,1927,108.16,20040.8,208424.32
